country;total_vaccinations;Date;vaccine
Argentina;26914015;24/01/2022;Sinopharm/Beijing
Argentina;9988509;24/01/2022;Pfizer/BioNTech
Argentina;25531596;24/01/2022;Oxford/AstraZeneca
Argentina;4441419;24/01/2022;Moderna
Argentina;368741;24/01/2022;CanSino
Argentina;19339643;23/01/2022;Sputnik V
Argentina;26856561;23/01/2022;Sinopharm/Beijing
Argentina;9852136;23/01/2022;Pfizer/BioNTech
Argentina;25519643;23/01/2022;Oxford/AstraZeneca
Argentina;4343834;23/01/2022;Moderna
Argentina;354651;23/01/2022;CanSino
Argentina;19324947;22/01/2022;Sputnik V
Argentina;26843202;22/01/2022;Sinopharm/Beijing
Argentina;9809030;22/01/2022;Pfizer/BioNTech
Argentina;25518427;22/01/2022;Oxford/AstraZeneca
Argentina;4303367;22/01/2022;Moderna
Argentina;349110;22/01/2022;CanSino
Argentina;19300153;21/01/2022;Sputnik V
Argentina;26820813;21/01/2022;Sinopharm/Beijing
Argentina;9752091;21/01/2022;Pfizer/BioNTech
Argentina;25514459;21/01/2022;Oxford/AstraZeneca
Argentina;4244567;21/01/2022;Moderna
Argentina;343125;21/01/2022;CanSino
Argentina;19242168;20/01/2022;Sputnik V
Argentina;26767480;20/01/2022;Sinopharm/Beijing
Argentina;9618693;20/01/2022;Pfizer/BioNTech
Argentina;25498767;20/01/2022;Oxford/AstraZeneca
Argentina;4149741;20/01/2022;Moderna
Argentina;328649;20/01/2022;CanSino
Argentina;19176600;19/01/2022;Sputnik V
Argentina;26709453;19/01/2022;Sinopharm/Beijing
Argentina;9480385;19/01/2022;Pfizer/BioNTech
Argentina;25481891;19/01/2022;Oxford/AstraZeneca
Argentina;4057225;19/01/2022;Moderna
Argentina;318414;19/01/2022;CanSino
Argentina;19108083;18/01/2022;Sputnik V
Argentina;26653072;18/01/2022;Sinopharm/Beijing
Argentina;9335168;18/01/2022;Pfizer/BioNTech
Argentina;25462251;18/01/2022;Oxford/AstraZeneca
Argentina;3968569;18/01/2022;Moderna
Argentina;312103;18/01/2022;CanSino
Argentina;19042227;17/01/2022;Sputnik V
Argentina;26594336;17/01/2022;Sinopharm/Beijing
Argentina;9165352;17/01/2022;Pfizer/BioNTech
Argentina;25438725;17/01/2022;Oxford/AstraZeneca
Argentina;3888522;17/01/2022;Moderna
Argentina;304788;17/01/2022;CanSino
Argentina;18979486;16/01/2022;Sputnik V
Argentina;26533149;16/01/2022;Sinopharm/Beijing
Argentina;8979062;16/01/2022;Pfizer/BioNTech
Argentina;25414320;16/01/2022;Oxford/AstraZeneca
Argentina;3812538;16/01/2022;Moderna
Argentina;296912;16/01/2022;CanSino
Argentina;18955970;15/01/2022;Sputnik V
Argentina;26518668;15/01/2022;Sinopharm/Beijing
Argentina;8904270;15/01/2022;Pfizer/BioNTech
Argentina;25410240;15/01/2022;Oxford/AstraZeneca
Argentina;3796593;15/01/2022;Moderna
Argentina;296381;15/01/2022;CanSino
Argentina;18925408;14/01/2022;Sputnik V
Argentina;26496439;14/01/2022;Sinopharm/Beijing
Argentina;8804921;14/01/2022;Pfizer/BioNTech
Argentina;25402670;14/01/2022;Oxford/AstraZeneca
Argentina;3771900;14/01/2022;Moderna
Argentina;294452;14/01/2022;CanSino
Argentina;18868200;13/01/2022;Sputnik V
Argentina;26435209;13/01/2022;Sinopharm/Beijing
Argentina;8622796;13/01/2022;Pfizer/BioNTech
Argentina;25365726;13/01/2022;Oxford/AstraZeneca
Argentina;3701833;13/01/2022;Moderna
Argentina;285057;13/01/2022;CanSino
Argentina;18799431;12/01/2022;Sputnik V
Argentina;26364564;12/01/2022;Sinopharm/Beijing
Argentina;8425622;12/01/2022;Pfizer/BioNTech
Argentina;25316047;12/01/2022;Oxford/AstraZeneca
Argentina;3633570;12/01/2022;Moderna
Argentina;277338;12/01/2022;CanSino
Argentina;18716835;11/01/2022;Sputnik V
Argentina;26287220;11/01/2022;Sinopharm/Beijing
Argentina;8200657;11/01/2022;Pfizer/BioNTech
Argentina;25257147;11/01/2022;Oxford/AstraZeneca
Argentina;3588812;11/01/2022;Moderna
